name,party,votes,constituency
Juju Kaji Maharjan,Rastriya Janamukti Party,211,7
Ram Nepali,Nepalka lagi Nepali Party,115,7
Prasanna Kumar Aryal,Independent,107,7
Ishwor Aryal,Independent,102,7
Kumar Khaki Shrestha,Rastriya Prajatantra Party Nepal,92,7
Krishna Prasad Dawadi,Nepal Aama Party,77,7
Sujan Ratna Bajracharya,Independent,75,7
Lok Prasad Simkhada,Independent,38,7
Hem Bahadur Dangol,Independent,33,7
Kamala Bhusal,Nepali Congress (BP),31,7
Shailendra Raj Shrestha,Janasamajwadi Party Nepal,28,7
Prakash Kunwar,Independent,28,7
Bharat Tamang,Independent,13,7
Manju Maya Tamang,Independent,8,7
Januka Poudel,Independent,7,7
Laxman Prasad Gajurel,Independent,6,7
Rojina Awale,Independent,4,7
Raj Kumar Koirala,Independent,3,7
Biraj Bhakta Shrestha,Rastriya Swatantra Party,10105,8
Suman Sayami,Hamro Nepali Party,5889,8
Jeewan Ram Shrestha,CPN (Unified Socialist),4877,8
Prakash Rimal,Rastriya Prajatantra Party,4225,8
Shiv Sundar Rajabhaidha,CPN UML,3522,8
Manoj Kumar Khadka,Janata Samajwadi Party,360,8
Krishna Maya Manandar,Nepal Workers and Peasants Party,194,8
Rajendra Thapa,Rastriya Prajatantra Party Nepal,89,8
Santa Bahadur Shakya,Janamat Party,76,8
Dipak Prasad Khanal,Independent,51,8
Suman Kumar Balami,Sachet Nepali Party,40,8
Ramesh Kumar Dangol,Rastriya Janamukti Party,39,8
Chatra Kumar Pakahin,Aamul Pariwartan Mashika Party,35,8
Santosh Deula,Loktantrik Samajwadi Party,30,8
Durga Devi Maharjan,Independent,24,8
Resham Bahadur Sunar,Nepali Janata Dal,22,8
Rekh Kumar Gurung,Janata Pragatisheel Party,16,8
Hemraj Baral,Independent,11,8
Bijaya Dangol,Nepal Sanghiya Samajwadi Party,10,8
Krishna Gopal Shrestha,CPN UML,11956,9
Tek Bahadur Pokheral,Rastriya Swatantra Party,10961,9
Kalpana Dhamal,CPN Maoist,6402,9
Devendra Pradhan,Rastriya Prajatantra Party,4785,9
Milan Pandey,Sajha Party Nepal,2327,9
Iresh Shrestha,Hamro Nepali Party,1586,9
Suman Maharjan,Nepal Workers and Peasants Party,1552,9
Sunil Rijal,Independent,833,9
Sharmila Suwal (Dangol),Janata Samajwadi Party,792,9
Dr. Gyan Bahadur Basnet,Independent,314,9
Ramesh Thapa,Nepali Congress (BP),247,9
Bhai Raja Bhandari,Independent,151,9
Ujala Sthapit,Rastriya Janamukti Party,123,9
Rajendra Prasad Pathak,Independent,94,9
Uddav Rokka,Independent,82,9
Prajul Joshi,Loktantrik Samajwadi Party,81,9
Laxman Singh Khadka,Independent,64,9
Rachana Shrestha,Independent,60,9
Ganesh Thapa,Independent,31,9
Ram Kumar Rijal,Independent,31,9
